k,timestamp,load_p_kw,poa_irradiance_w_m2,temp_air_c,quality,bess_1.available,dg_1.available,grid_1.available,pv_1.available
40,2026-03-01T10:00:00+05:30,417.063,738.196,29.738,synthetic,True,True,True,True
41,2026-03-01T10:15:00+05:30,394.942,749.803,30.225,synthetic,True,True,True,True
42,2026-03-01T10:30:00+05:30,381.209,760.01,30.622,synthetic,True,True,True,True
43,2026-03-01T10:45:00+05:30,383.532,816.175,31.262,synthetic,True,True,True,True
44,2026-03-01T11:00:00+05:30,395.569,836.805,31.73,synthetic,True,True,True,True
45,2026-03-01T11:15:00+05:30,396.405,854.076,32.065,synthetic,True,True,True,True
46,2026-03-01T11:30:00+05:30,403.821,886.0,32.61,synthetic,True,True,True,True
47,2026-03-01T11:45:00+05:30,405.599,886.849,32.966,synthetic,True,True,True,True
48,2026-03-01T12:00:00+05:30,428.77,889.458,33.394,synthetic,True,True,True,True
49,2026-03-01T12:15:00+05:30,438.58,897.416,33.978,synthetic,True,True,True,True
50,2026-03-01T12:30:00+05:30,410.542,884.033,33.814,synthetic,True,True,True,True
51,2026-03-01T12:45:00+05:30,399.816,893.267,33.924,synthetic,True,True,True,True
52,2026-03-01T13:00:00+05:30,401.146,889.252,33.722,synthetic,True,True,True,True
53,2026-03-01T13:15:00+05:30,384.504,843.783,33.755,synthetic,True,True,True,True
54,2026-03-01T13:30:00+05:30,399.613,819.927,34.568,synthetic,True,True,True,True
55,2026-03-01T13:45:00+05:30,410.716,801.756,35.681,synthetic,True,True,True,True
56,2026-03-01T14:00:00+05:30,419.444,736.331,34.94,synthetic,True,True,True,True
57,2026-03-01T14:15:00+05:30,442.765,732.808,34.702,synthetic,True,True,True,True
58,2026-03-01T14:30:00+05:30,421.007,701.54,35.33,synthetic,True,True,True,True
59,2026-03-01T14:45:00+05:30,410.593,641.928,34.759,synthetic,True,True,True,True
60,2026-03-01T15:00:00+05:30,398.879,612.394,34.921,synthetic,True,True,True,True
61,2026-03-01T15:15:00+05:30,403.6,587.33,34.72,synthetic,True,True,True,True
62,2026-03-01T15:30:00+05:30,377.712,566.114,34.881,synthetic,True,True,True,True
63,2026-03-01T15:45:00+05:30,366.316,502.695,35.095,synthetic,True,True,True,True
64,2026-03-01T16:00:00+05:30,385.593,450.951,35.819,synthetic,True,True,True,True
65,2026-03-01T16:15:00+05:30,393.842,377.728,36.03,synthetic,True,True,True,True
66,2026-03-01T16:30:00+05:30,391.771,296.954,35.761,synthetic,True,True,True,True
67,2026-03-01T16:45:00+05:30,374.326,246.855,35.797,synthetic,True,True,True,True
68,2026-03-01T17:00:00+05:30,379.523,202.927,35.882,synthetic,True,True,True,True
69,2026-03-01T17:15:00+05:30,382.99,155.919,35.705,synthetic,True,True,True,True
70,2026-03-01T17:30:00+05:30,395.105,101.621,35.673,synthetic,True,True,True,True
71,2026-03-01T17:45:00+05:30,392.231,51.021,35.172,synthetic,True,True,True,True
72,2026-03-01T18:00:00+05:30,527.492,12.089,34.761,synthetic,True,True,True,True
73,2026-03-01T18:15:00+05:30,547.156,0.064,34.476,synthetic,True,True,True,True
74,2026-03-01T18:30:00+05:30,535.665,0.0,33.803,synthetic,True,True,True,True
75,2026-03-01T18:45:00+05:30,542.584,0.0,33.2,synthetic,True,True,True,True
76,2026-03-01T19:00:00+05:30,545.627,0.0,32.255,synthetic,True,True,True,True
77,2026-03-01T19:15:00+05:30,534.562,0.0,31.415,synthetic,True,True,True,True
78,2026-03-01T19:30:00+05:30,560.135,0.0,30.055,synthetic,True,True,True,True
79,2026-03-01T19:45:00+05:30,557.316,0.0,29.843,synthetic,True,True,True,True
80,2026-03-01T20:00:00+05:30,549.572,0.0,29.931,synthetic,True,True,True,True
81,2026-03-01T20:15:00+05:30,559.331,0.0,29.758,synthetic,True,True,True,True
82,2026-03-01T20:30:00+05:30,553.46,0.0,29.37,synthetic,True,True,True,True
83,2026-03-01T20:45:00+05:30,563.273,0.0,29.968,synthetic,True,True,True,True
84,2026-03-01T21:00:00+05:30,579.54,0.0,29.893,synthetic,True,True,True,True
85,2026-03-01T21:15:00+05:30,559.599,0.0,28.866,synthetic,True,True,True,True
86,2026-03-01T21:30:00+05:30,579.684,0.0,28.179,synthetic,True,True,True,True
87,2026-03-01T21:45:00+05:30,572.936,0.0,27.678,synthetic,True,True,True,True
88,2026-03-01T22:00:00+05:30,425.257,0.0,27.425,synthetic,True,True,True,True
89,2026-03-01T22:15:00+05:30,414.21,0.0,26.973,synthetic,True,True,True,True
90,2026-03-01T22:30:00+05:30,399.7,0.0,26.459,synthetic,True,True,True,True
91,2026-03-01T22:45:00+05:30,412.376,0.0,25.613,synthetic,True,True,True,True
92,2026-03-01T23:00:00+05:30,417.739,0.0,25.021,synthetic,True,True,True,True
93,2026-03-01T23:15:00+05:30,417.203,0.0,23.498,synthetic,True,True,True,True
94,2026-03-01T23:30:00+05:30,409.965,0.0,23.008,synthetic,True,True,True,True
95,2026-03-01T23:45:00+05:30,412.984,0.0,22.456,synthetic,True,True,True,True
96,2026-03-02T00:00:00+05:30,410.961,0.0,22.353,synthetic,True,True,True,True
97,2026-03-02T00:15:00+05:30,421.49,0.0,21.987,synthetic,True,True,True,True
98,2026-03-02T00:30:00+05:30,421.467,0.0,21.859,synthetic,True,True,True,True
99,2026-03-02T00:45:00+05:30,427.828,0.0,21.884,synthetic,True,True,True,True
100,2026-03-02T01:00:00+05:30,427.166,0.0,22.806,synthetic,True,True,True,True
101,2026-03-02T01:15:00+05:30,419.507,0.0,22.875,synthetic,True,True,True,True
102,2026-03-02T01:30:00+05:30,420.166,0.0,22.887,synthetic,True,True,True,True
103,2026-03-02T01:45:00+05:30,426.937,0.0,22.926,synthetic,True,True,True,True
104,2026-03-02T02:00:00+05:30,427.759,0.0,23.122,synthetic,True,True,True,True
105,2026-03-02T02:15:00+05:30,451.225,0.0,22.712,synthetic,True,True,True,True
106,2026-03-02T02:30:00+05:30,434.115,0.0,22.415,synthetic,True,True,True,True
107,2026-03-02T02:45:00+05:30,415.989,0.0,21.535,synthetic,True,True,True,True
108,2026-03-02T03:00:00+05:30,424.681,0.0,21.627,synthetic,True,True,True,True
109,2026-03-02T03:15:00+05:30,418.133,0.0,22.572,synthetic,True,True,True,True
110,2026-03-02T03:30:00+05:30,422.13,0.0,23.532,synthetic,True,True,True,True
111,2026-03-02T03:45:00+05:30,418.607,0.0,23.86,synthetic,True,True,True,True
112,2026-03-02T04:00:00+05:30,404.651,0.0,24.052,synthetic,True,True,True,True
113,2026-03-02T04:15:00+05:30,407.589,0.0,23.355,synthetic,True,True,True,True
114,2026-03-02T04:30:00+05:30,405.981,0.0,23.735,synthetic,True,True,True,True
115,2026-03-02T04:45:00+05:30,417.969,0.0,24.213,synthetic,True,True,True,True
116,2026-03-02T05:00:00+05:30,417.269,0.0,24.312,synthetic,True,True,True,True
117,2026-03-02T05:15:00+05:30,426.863,0.0,23.702,synthetic,True,True,True,True
118,2026-03-02T05:30:00+05:30,408.097,0.0,23.631,synthetic,True,True,True,True
119,2026-03-02T05:45:00+05:30,411.335,0.0,24.336,synthetic,True,True,True,True
120,2026-03-02T06:00:00+05:30,702.219,0.0,24.958,synthetic,True,True,True,True
121,2026-03-02T06:15:00+05:30,760.975,0.0,24.641,synthetic,True,True,True,True
122,2026-03-02T06:30:00+05:30,739.727,0.435,24.749,synthetic,True,True,True,True
123,2026-03-02T06:45:00+05:30,705.496,18.026,25.04,synthetic,True,True,True,True
124,2026-03-02T07:00:00+05:30,683.16,60.817,25.533,synthetic,True,True,True,True
125,2026-03-02T07:15:00+05:30,657.198,116.097,25.84,synthetic,True,True,True,True
126,2026-03-02T07:30:00+05:30,658.096,177.354,26.333,synthetic,True,True,True,True
127,2026-03-02T07:45:00+05:30,662.527,242.87,26.82,synthetic,True,True,True,True
128,2026-03-02T08:00:00+05:30,655.421,302.679,27.203,synthetic,True,True,True,True
129,2026-03-02T08:15:00+05:30,639.841,355.915,27.395,synthetic,True,True,True,True
130,2026-03-02T08:30:00+05:30,657.224,400.115,29.142,synthetic,True,True,True,True
131,2026-03-02T08:45:00+05:30,651.48,465.532,29.912,synthetic,True,True,True,True
132,2026-03-02T09:00:00+05:30,645.908,528.991,29.884,synthetic,True,True,True,True
133,2026-03-02T09:15:00+05:30,676.131,602.325,30.032,synthetic,True,True,True,True
134,2026-03-02T09:30:00+05:30,660.503,656.754,29.96,synthetic,True,True,True,True
135,2026-03-02T09:45:00+05:30,671.606,705.047,29.393,synthetic,True,True,True,True
136,2026-03-02T10:00:00+05:30,380.056,745.039,30.098,synthetic,True,True,True,True
137,2026-03-02T10:15:00+05:30,376.31,752.921,30.222,synthetic,True,True,True,True
138,2026-03-02T10:30:00+05:30,381.824,772.29,31.379,synthetic,True,True,True,True
139,2026-03-02T10:45:00+05:30,362.338,787.305,31.812,synthetic,True,True,True,True
140,2026-03-02T11:00:00+05:30,383.533,810.214,31.792,synthetic,True,True,True,True
141,2026-03-02T11:15:00+05:30,365.524,804.492,32.429,synthetic,True,True,True,True
142,2026-03-02T11:30:00+05:30,367.573,832.745,32.287,synthetic,True,True,True,True
143,2026-03-02T11:45:00+05:30,383.168,847.369,32.861,synthetic,True,True,True,True
144,2026-03-02T12:00:00+05:30,375.504,748.293,33.064,synthetic,True,True,True,True
145,2026-03-02T12:15:00+05:30,377.209,778.117,32.678,synthetic,True,True,True,True
146,2026-03-02T12:30:00+05:30,377.395,819.129,32.966,synthetic,True,True,True,True
147,2026-03-02T12:45:00+05:30,377.612,816.439,32.487,synthetic,True,True,True,True
148,2026-03-02T13:00:00+05:30,391.381,837.607,32.709,synthetic,True,True,True,True
149,2026-03-02T13:15:00+05:30,408.104,825.282,32.508,synthetic,True,True,True,True
150,2026-03-02T13:30:00+05:30,421.916,838.07,32.952,synthetic,True,True,True,True
151,2026-03-02T13:45:00+05:30,422.055,786.824,32.207,synthetic,True,True,True,True
152,2026-03-02T14:00:00+05:30,423.941,782.179,32.622,synthetic,True,True,True,True
153,2026-03-02T14:15:00+05:30,439.591,754.387,33.051,synthetic,True,True,True,True
154,2026-03-02T14:30:00+05:30,441.558,718.846,33.067,synthetic,True,True,True,True
155,2026-03-02T14:45:00+05:30,434.213,690.96,33.372,synthetic,True,True,True,True
156,2026-03-02T15:00:00+05:30,429.09,641.108,33.697,synthetic,True,True,True,True
157,2026-03-02T15:15:00+05:30,420.348,611.348,34.005,synthetic,True,True,True,True
158,2026-03-02T15:30:00+05:30,441.314,571.599,33.91,synthetic,True,True,True,True
159,2026-03-02T15:45:00+05:30,439.595,495.631,33.091,synthetic,True,True,True,True
160,2026-03-02T16:00:00+05:30,419.166,432.452,32.822,synthetic,True,True,True,True
161,2026-03-02T16:15:00+05:30,432.733,367.921,32.781,synthetic,True,True,True,True
162,2026-03-02T16:30:00+05:30,429.611,325.292,32.704,synthetic,True,True,True,True
163,2026-03-02T16:45:00+05:30,443.363,278.733,32.462,synthetic,True,True,True,True
164,2026-03-02T17:00:00+05:30,429.079,209.325,32.643,synthetic,True,True,True,True
165,2026-03-02T17:15:00+05:30,423.924,150.962,32.344,synthetic,True,True,True,True
166,2026-03-02T17:30:00+05:30,402.991,90.258,32.296,synthetic,True,True,True,True
167,2026-03-02T17:45:00+05:30,407.413,48.234,32.641,synthetic,True,True,True,True
168,2026-03-02T18:00:00+05:30,694.514,10.559,32.473,synthetic,True,True,True,True
169,2026-03-02T18:15:00+05:30,693.66,0.066,31.683,synthetic,True,True,True,True
170,2026-03-02T18:30:00+05:30,663.448,0.0,31.076,synthetic,True,True,True,True
171,2026-03-02T18:45:00+05:30,702.634,0.0,31.236,synthetic,True,True,True,True
172,2026-03-02T19:00:00+05:30,657.614,0.0,31.271,synthetic,True,True,True,True
173,2026-03-02T19:15:00+05:30,634.94,0.0,31.066,synthetic,True,True,True,True
174,2026-03-02T19:30:00+05:30,665.878,0.0,30.876,synthetic,True,True,True,True
175,2026-03-02T19:45:00+05:30,655.166,0.0,30.909,synthetic,True,True,True,True
176,2026-03-02T20:00:00+05:30,634.525,0.0,31.095,synthetic,True,True,True,True
177,2026-03-02T20:15:00+05:30,677.065,0.0,30.677,synthetic,True,True,True,True
178,2026-03-02T20:30:00+05:30,677.189,0.0,30.015,synthetic,True,True,True,True
179,2026-03-02T20:45:00+05:30,678.149,0.0,29.195,synthetic,True,True,True,True
180,2026-03-02T21:00:00+05:30,714.239,0.0,28.513,synthetic,True,True,True,True
181,2026-03-02T21:15:00+05:30,669.453,0.0,27.63,synthetic,True,True,True,True
182,2026-03-02T21:30:00+05:30,659.905,0.0,27.754,synthetic,True,True,True,True
183,2026-03-02T21:45:00+05:30,649.597,0.0,27.527,synthetic,True,True,True,True
184,2026-03-02T22:00:00+05:30,377.437,0.0,27.524,synthetic,True,True,True,True
185,2026-03-02T22:15:00+05:30,383.683,0.0,26.139,synthetic,True,True,True,True
186,2026-03-02T22:30:00+05:30,368.005,0.0,25.856,synthetic,True,True,True,True
187,2026-03-02T22:45:00+05:30,365.46,0.0,25.826,synthetic,True,True,True,True
188,2026-03-02T23:00:00+05:30,393.441,0.0,25.804,synthetic,True,True,True,True
189,2026-03-02T23:15:00+05:30,389.526,0.0,25.448,synthetic,True,True,True,True
190,2026-03-02T23:30:00+05:30,359.643,0.0,25.184,synthetic,True,True,True,True
191,2026-03-02T23:45:00+05:30,370.886,0.0,24.755,synthetic,True,True,True,True
192,2026-03-03T00:00:00+05:30,390.288,0.0,24.545,synthetic,True,True,True,True
193,2026-03-03T00:15:00+05:30,402.772,0.0,24.439,synthetic,True,True,True,True
194,2026-03-03T00:30:00+05:30,389.68,0.0,24.184,synthetic,True,True,True,True
195,2026-03-03T00:45:00+05:30,399.576,0.0,24.358,synthetic,True,True,True,True
196,2026-03-03T01:00:00+05:30,393.15,0.0,24.651,synthetic,True,True,True,True
197,2026-03-03T01:15:00+05:30,402.206,0.0,23.725,synthetic,True,True,True,True
198,2026-03-03T01:30:00+05:30,399.015,0.0,23.286,synthetic,True,True,True,True
199,2026-03-03T01:45:00+05:30,410.056,0.0,22.77,synthetic,True,True,True,True
200,2026-03-03T02:00:00+05:30,397.142,0.0,22.666,synthetic,True,True,True,True
201,2026-03-03T02:15:00+05:30,399.618,0.0,22.341,synthetic,True,True,True,True
202,2026-03-03T02:30:00+05:30,399.737,0.0,22.993,synthetic,True,True,True,True
203,2026-03-03T02:45:00+05:30,412.844,0.0,23.119,synthetic,True,True,True,True
204,2026-03-03T03:00:00+05:30,408.559,0.0,23.223,synthetic,True,True,True,True
205,2026-03-03T03:15:00+05:30,406.64,0.0,22.994,synthetic,True,True,True,True
206,2026-03-03T03:30:00+05:30,396.166,0.0,22.97,synthetic,True,True,True,True
207,2026-03-03T03:45:00+05:30,367.618,0.0,23.528,synthetic,True,True,True,True
208,2026-03-03T04:00:00+05:30,390.919,0.0,23.531,synthetic,True,True,True,True
209,2026-03-03T04:15:00+05:30,383.508,0.0,24.335,synthetic,True,True,True,True
210,2026-03-03T04:30:00+05:30,385.318,0.0,23.899,synthetic,True,True,True,True
211,2026-03-03T04:45:00+05:30,395.732,0.0,23.684,synthetic,True,True,True,True
212,2026-03-03T05:00:00+05:30,398.839,0.0,23.259,synthetic,True,True,True,True
213,2026-03-03T05:15:00+05:30,392.743,0.0,23.301,synthetic,True,True,True,True
214,2026-03-03T05:30:00+05:30,390.218,0.0,23.873,synthetic,True,True,True,True
215,2026-03-03T05:45:00+05:30,364.198,0.0,24.802,synthetic,True,True,True,True
216,2026-03-03T06:00:00+05:30,709.206,0.0,24.502,synthetic,True,True,True,True
217,2026-03-03T06:15:00+05:30,712.789,0.0,24.728,synthetic,True,True,True,True
218,2026-03-03T06:30:00+05:30,698.036,0.585,25.471,synthetic,True,True,True,True
219,2026-03-03T06:45:00+05:30,700.397,19.593,25.989,synthetic,True,True,True,True
220,2026-03-03T07:00:00+05:30,713.074,67.065,26.691,synthetic,True,True,True,True
221,2026-03-03T07:15:00+05:30,698.252,125.618,26.887,synthetic,True,True,True,True
222,2026-03-03T07:30:00+05:30,707.223,187.002,27.381,synthetic,True,True,True,True
223,2026-03-03T07:45:00+05:30,721.127,248.63,27.407,synthetic,True,True,True,True
224,2026-03-03T08:00:00+05:30,715.526,314.337,27.629,synthetic,True,True,True,True
225,2026-03-03T08:15:00+05:30,714.641,376.8,27.552,synthetic,True,True,True,True
226,2026-03-03T08:30:00+05:30,689.904,442.466,28.049,synthetic,True,True,True,True
227,2026-03-03T08:45:00+05:30,667.354,502.676,28.001,synthetic,True,True,True,True
228,2026-03-03T09:00:00+05:30,673.972,552.309,28.489,synthetic,True,True,True,True
229,2026-03-03T09:15:00+05:30,700.954,599.788,28.921,synthetic,True,True,True,True
230,2026-03-03T09:30:00+05:30,686.036,642.111,29.328,synthetic,True,True,True,True
231,2026-03-03T09:45:00+05:30,696.762,694.85,29.841,synthetic,True,True,True,True
232,2026-03-03T10:00:00+05:30,373.296,735.507,29.334,synthetic,True,True,True,True
233,2026-03-03T10:15:00+05:30,392.346,775.299,29.866,synthetic,True,True,True,True
234,2026-03-03T10:30:00+05:30,390.811,813.1,30.375,synthetic,True,True,True,True
235,2026-03-03T10:45:00+05:30,403.106,872.471,31.302,synthetic,True,True,True,True
236,2026-03-03T11:00:00+05:30,409.316,902.462,32.028,synthetic,True,True,True,True
237,2026-03-03T11:15:00+05:30,427.269,938.5,32.581,synthetic,True,True,True,True
238,2026-03-03T11:30:00+05:30,446.72,952.014,33.355,synthetic,True,True,True,True
239,2026-03-03T11:45:00+05:30,440.122,966.7,33.823,synthetic,True,True,True,True
240,2026-03-03T12:00:00+05:30,440.162,960.747,33.904,synthetic,True,True,True,True
241,2026-03-03T12:15:00+05:30,430.62,978.071,34.209,synthetic,True,True,True,True
242,2026-03-03T12:30:00+05:30,430.608,968.084,33.801,synthetic,True,True,True,True
243,2026-03-03T12:45:00+05:30,424.249,980.465,34.112,synthetic,True,True,True,True
244,2026-03-03T13:00:00+05:30,396.108,971.577,34.102,synthetic,True,True,True,True
245,2026-03-03T13:15:00+05:30,415.734,958.852,33.94,synthetic,True,True,True,True
246,2026-03-03T13:30:00+05:30,405.364,931.168,33.3,synthetic,True,True,True,True
247,2026-03-03T13:45:00+05:30,415.273,903.704,32.961,synthetic,True,True,True,True
248,2026-03-03T14:00:00+05:30,418.447,875.182,33.223,synthetic,True,True,True,True
249,2026-03-03T14:15:00+05:30,401.1,839.391,33.619,synthetic,True,True,True,True
250,2026-03-03T14:30:00+05:30,412.272,799.251,34.285,synthetic,True,True,True,True
251,2026-03-03T14:45:00+05:30,404.854,734.607,34.323,synthetic,True,True,True,True
252,2026-03-03T15:00:00+05:30,397.934,688.015,35.194,synthetic,True,True,True,True
253,2026-03-03T15:15:00+05:30,391.091,637.872,35.472,synthetic,True,True,True,True
254,2026-03-03T15:30:00+05:30,388.338,569.619,35.753,synthetic,True,True,True,True
255,2026-03-03T15:45:00+05:30,374.665,524.102,36.305,synthetic,True,True,True,True
256,2026-03-03T16:00:00+05:30,357.646,474.946,35.756,synthetic,True,True,True,True
257,2026-03-03T16:15:00+05:30,354.471,417.288,35.529,synthetic,True,True,True,True
258,2026-03-03T16:30:00+05:30,382.202,360.503,35.675,synthetic,True,True,True,True
259,2026-03-03T16:45:00+05:30,398.09,299.245,36.258,synthetic,True,True,True,True
260,2026-03-03T17:00:00+05:30,383.867,235.261,36.205,synthetic,True,True,True,True
261,2026-03-03T17:15:00+05:30,391.609,174.954,36.331,synthetic,True,True,True,True
262,2026-03-03T17:30:00+05:30,398.941,113.708,35.661,synthetic,True,True,True,True
263,2026-03-03T17:45:00+05:30,383.16,55.259,35.157,synthetic,True,True,True,True
264,2026-03-03T18:00:00+05:30,679.599,13.131,35.454,synthetic,True,True,True,True
265,2026-03-03T18:15:00+05:30,692.077,0.087,35.308,synthetic,True,True,True,True
266,2026-03-03T18:30:00+05:30,694.87,0.0,34.243,synthetic,True,True,True,True
267,2026-03-03T18:45:00+05:30,699.917,0.0,33.889,synthetic,True,True,True,True
268,2026-03-03T19:00:00+05:30,665.177,0.0,33.343,synthetic,True,True,True,True
269,2026-03-03T19:15:00+05:30,651.68,0.0,32.96,synthetic,True,True,True,True
270,2026-03-03T19:30:00+05:30,657.575,0.0,32.032,synthetic,True,True,True,True
271,2026-03-03T19:45:00+05:30,690.441,0.0,31.799,synthetic,True,True,True,True
272,2026-03-03T20:00:00+05:30,695.306,0.0,31.009,synthetic,True,True,True,True
273,2026-03-03T20:15:00+05:30,680.544,0.0,30.676,synthetic,True,True,True,True
274,2026-03-03T20:30:00+05:30,664.152,0.0,29.955,synthetic,True,True,True,True
275,2026-03-03T20:45:00+05:30,690.111,0.0,29.146,synthetic,True,True,True,True
276,2026-03-03T21:00:00+05:30,682.48,0.0,28.62,synthetic,True,True,True,True
277,2026-03-03T21:15:00+05:30,664.84,0.0,28.232,synthetic,True,True,True,True
278,2026-03-03T21:30:00+05:30,648.149,0.0,27.954,synthetic,True,True,True,True
279,2026-03-03T21:45:00+05:30,645.117,0.0,27.839,synthetic,True,True,True,True
280,2026-03-03T22:00:00+05:30,356.621,0.0,26.726,synthetic,True,True,True,True
281,2026-03-03T22:15:00+05:30,369.824,0.0,26.172,synthetic,True,True,True,True
282,2026-03-03T22:30:00+05:30,379.058,0.0,25.985,synthetic,True,True,True,True
283,2026-03-03T22:45:00+05:30,399.919,0.0,26.094,synthetic,True,True,True,True
284,2026-03-03T23:00:00+05:30,406.016,0.0,25.488,synthetic,True,True,True,True
285,2026-03-03T23:15:00+05:30,395.835,0.0,25.435,synthetic,True,True,True,True
286,2026-03-03T23:30:00+05:30,410.99,0.0,25.298,synthetic,True,True,True,True
287,2026-03-03T23:45:00+05:30,401.197,0.0,25.169,synthetic,True,True,True,True
288,2026-03-04T00:00:00+05:30,415.441,0.0,25.073,synthetic,True,True,True,True
289,2026-03-04T00:15:00+05:30,421.125,0.0,25.235,synthetic,True,True,True,True
290,2026-03-04T00:30:00+05:30,418.19,0.0,25.562,synthetic,True,True,True,True
291,2026-03-04T00:45:00+05:30,408.74,0.0,25.432,synthetic,True,True,True,True
292,2026-03-04T01:00:00+05:30,419.149,0.0,25.22,synthetic,True,True,True,True
293,2026-03-04T01:15:00+05:30,399.029,0.0,24.731,synthetic,True,True,True,True
294,2026-03-04T01:30:00+05:30,398.539,0.0,24.424,synthetic,True,True,True,True
295,2026-03-04T01:45:00+05:30,395.146,0.0,24.011,synthetic,True,True,True,True
296,2026-03-04T02:00:00+05:30,400.011,0.0,23.444,synthetic,True,True,True,True
297,2026-03-04T02:15:00+05:30,427.997,0.0,23.116,synthetic,True,True,True,True
298,2026-03-04T02:30:00+05:30,438.305,0.0,21.877,synthetic,True,True,True,True
299,2026-03-04T02:45:00+05:30,439.759,0.0,22.488,synthetic,True,True,True,True
300,2026-03-04T03:00:00+05:30,429.933,0.0,21.917,synthetic,True,True,True,True
301,2026-03-04T03:15:00+05:30,418.277,0.0,21.787,synthetic,True,True,True,True
302,2026-03-04T03:30:00+05:30,422.369,0.0,22.064,synthetic,True,True,True,True
303,2026-03-04T03:45:00+05:30,419.577,0.0,22.1,synthetic,True,True,True,True
304,2026-03-04T04:00:00+05:30,420.821,0.0,22.283,synthetic,True,True,True,True
305,2026-03-04T04:15:00+05:30,413.833,0.0,22.45,synthetic,True,True,True,True
306,2026-03-04T04:30:00+05:30,407.894,0.0,22.796,synthetic,True,True,True,True
307,2026-03-04T04:45:00+05:30,402.875,0.0,23.918,synthetic,True,True,True,True
308,2026-03-04T05:00:00+05:30,398.419,0.0,23.968,synthetic,True,True,True,True
309,2026-03-04T05:15:00+05:30,382.984,0.0,24.055,synthetic,True,True,True,True
310,2026-03-04T05:30:00+05:30,389.959,0.0,24.134,synthetic,True,True,True,True
311,2026-03-04T05:45:00+05:30,399.531,0.0,23.94,synthetic,True,True,True,True
312,2026-03-04T06:00:00+05:30,742.186,0.0,24.72,synthetic,True,True,True,True
313,2026-03-04T06:15:00+05:30,761.436,0.0,24.366,synthetic,True,True,True,True
314,2026-03-04T06:30:00+05:30,733.347,0.659,24.774,synthetic,True,True,True,True
